Date,Total Traded Quantity,Weekly_Return,Normalized_Open,Normalized_High,Normalized_Low,EMA5_Diff_Pct,EMA13_Diff_Pct,EMA23_Diff_Pct,Volume_SMA10,Relative_Volume,Volume_Spike_Ratio_5Wk,Normalized_OBV,Normalized_Weekly_Range,ATR,Bollinger_Z_Score,ROC_10,RSI,Stochastic_%K,Stochastic_%D,VWAP_Diff_Pct,Label
6325,6325.0,6314.0,6325.0,6325.0,6325.0,6325.0,6325.0,6325.0,6226.0,6226.0,6281.0,6116.0,6325.0,6325.0,6116.0,6215.0,6314.0,6182.0,6160.0,6325.0,6325
575,,,,,,,,,,,,,,,,,,,,,3
2014-01-06,,,,,,,,,,,,,,,,,,,,,NotImportant
11,,,,,,,,,,,,,,,,,,,,,4915
,26019902.578023717,0.4056902006730118,1.0040718938233797,1.0360632661502511,0.9675242716390927,-0.6508936393566821,-1.8356162185814562,-3.1931384372015366,26253139.24522968,1.018632276903186,1.0079475941761948,0.9979295018410975,6.85389945111585,163.44814862380886,0.41046934327241197,4.274141229329994,55.263741809861976,58.23254384290474,58.23995087533099,42.59821145955964,
,48480363.94580511,5.377718297274284,0.18647299623094682,0.18871755020296732,0.029758935271829684,18.76289004520199,33.17670775145161,44.441159740988205,44804838.83789841,0.47111504522124026,0.3750589734194736,9.371391795300799,19.049480600278372,195.82210668593768,1.2762411571308419,17.88166390601877,17.453232527828625,29.335825888243775,27.31549897055661,87.57264847505179,
,29638.0,-90.17576617174456,0.5774370870946594,1.0,0.5566342226032578,-573.6972862609249,-663.1351359039525,-675.0687906441372,95260.7,0.0951415653441996,0.123606308158136,-666.9616655029993,0.7685405531931601,5.432307558983111,-4.108728943655447,-92.29698917395284,0.0,0.0483926719668156,0.1271718855894306,-84.66682286359703,
,2710915.0,-1.9740028207014118,0.9757988949562184,1.0101211619872512,0.9568461849945044,-1.423276333876072,-2.2563776494880385,-2.5291479558969034,3114036.25,0.7333308704777309,0.7566318473242549,0.9599907909155121,3.83840583655469,44.50849377619524,-0.5556644604332417,-4.0418149944345005,43.70819630257771,33.732609487176,35.202427146103226,-0.0679151367301854,
,6228763.0,0.3306430194175536,0.9985844807618066,1.0216851650493404,0.9757396517075893,0.6688918216089585,2.034276610147455,3.376188089662392,6471526.75,0.9221685640547608,0.945542271859974,1.0353363334352776,5.345215435196395,88.17476533150224,0.6337141095787862,4.153637690223055,56.309760759677026,63.25584650641944,63.138840531333145,22.49126869677414,
,24116441.0,2.7686697139316654,1.0221287136099797,1.0412474849094568,0.9880597014925372,2.7537094477943285,5.747442854264021,8.569439574390048,26838406.400000002,1.1809250210391606,1.1753416495621518,1.1745600491225099,7.613985237442026,214.71209332615288,1.4136010732622462,12.77077669858905,68.18716155673837,84.66051256547543,83.04724523145407,69.15989978993935,
,627402666.0,66.14160033514874,10.234831871345028,10.727339181286547,0.998923720591802,18.80691142117708,31.52601926723097,41.08848008211282,371693979.8,6.399888228256686,3.8827984402294624,89.29492456522505,976.7909356725144,3003.876718801682,3.710471205367216,121.49250827009146,100.0,100.0,98.78561318333776,847.229583826782,
,,,,,,,,,,,,,,,,,,,,,
