Date,Total Traded Quantity,Symbol,Weekly_Return,Normalized_Open,Normalized_High,Normalized_Low,EMA5_Diff_Pct,EMA13_Diff_Pct,EMA23_Diff_Pct,Volume_SMA10,Relative_Volume,Volume_Spike_Ratio_5Wk,Normalized_OBV,Normalized_Weekly_Range,ATR,Bollinger_Z_Score,ROC_10,RSI,Stochastic_%K,Stochastic_%D,VWAP_Diff_Pct,Label
2014-01-06,7194677,ADANIENT,,1.046617734576473,1.070819281888514,0.9700456258678832,0.0,0.0,0.0,,,,,10.077365602063074,25.399999999999977,,,,,,0.0,NotImportant
2014-01-13,6982820,ADANIENT,-6.645506843880177,1.076710582235444,1.0832979175520612,0.9895877603059924,-4.745714690466079,-6.101633173456392,-6.525357699390856,,,,,9.371015724606888,24.953333333333315,,,0.0,,,-3.4865233781341813,Consolidation
2014-01-20,6810343,ADANIENT,4.844878878028047,0.9408188082691528,1.025334414268342,0.9373733279286584,0.0630545421789658,-1.027439755796945,-1.4692552808179211,,,,,8.796108633968378,24.519555555555534,,,43.98713826366555,,,0.8003879235852912,Consolidation
2014-01-27,8811069,ADANIENT,-3.911633563032013,1.0518877873866272,1.1073613161780214,0.9968361105252056,-2.6701664752708982,-4.405831395745695,-5.133276402852967,,,,,11.05252056528158,24.7436148148148,,,30.768166089965376,,,-2.234109525411596,Consolidation
2014-02-03,9837791,ADANIENT,-0.8647964564437949,1.025531914893617,1.0936170212765957,0.975531914893617,-2.3771998949304205,-4.557090573962994,-5.546196767467823,,,1.2409952140314406,,11.808510638297872,25.14446617283949,,,28.657204834211317,,,-2.333068123150439,Consolidation
2014-02-10,8840200,ADANIENT,-5.659574468085116,1.0498421290031574,1.0667568786648625,0.9950383400992332,-5.679272215632704,-9.282490952566432,-10.888181718502606,,,1.07070299969069,,7.171853856562926,23.91187068312756,,,18.933152747373853,,,-6.520619303067127,EndOfConsolidation
2014-02-17,9037980,ADANIENT,-0.6991429860171317,1.0070406540994776,1.0211219622984329,0.9543493072904836,-4.282215611191677,-8.61592386042235,-10.696498128894042,,,1.0427463974924374,,6.67726550079492,22.683621258710552,,,18.106949854366547,,,-6.115759408417659,Breakout
2014-02-24,19544699,ADANIENT,13.399954576425156,0.8822351291808532,1.0202283196475064,0.8822351291808532,5.36022493676787,3.616048852832889,2.1853345704532097,,,1.742829752435536,,13.799319046665326,24.26580509088248,,,58.18158445115519,,,4.747203998153529,NotImportant
2014-03-03,8129535,ADANIENT,5.70799118766272,0.9501705191360365,1.0060629026146268,0.9230769230769232,6.98037174552001,7.5604826377190335,6.844845437239501,,,0.7338422921525566,,8.29859795377037,23.95036441209815,,,67.14323623056647,,,9.604266729475118,NotImportant
2014-03-10,16653897,ADANIENT,20.026525198938995,0.8397790055248618,1.0194159431728491,0.8320441988950277,15.000515871913144,19.70065090024324,20.522205161737062,10184301.1,1.6352518289153883,1.33860188237171,,18.73717442778215,28.67031582381839,,,82.86087250114764,,,25.099193113669735,NotImportant
2014-03-17,12397387,ADANIENT,1.104972375690605,0.994223263075722,1.0179547228727557,0.941608118657299,10.619647988401734,17.638490927138292,19.608247029607707,10704572.1,1.1581394271705638,0.942573568699159,,7.634660421545663,28.107607047309276,,27.058123388216625,83.46528054972363,,,22.94824587159705,NotImportant
2014-03-24,12050310,ADANIENT,1.4676034348165556,0.995076165563933,1.0210801661794122,0.96184028312048,7.941616183588543,16.13978428175598,19.04009648242052,11211321.1,1.074834079990805,0.8760570647001154,,5.923988305893214,26.926592774334704,,38.10029749256268,84.321946287619,,,21.87417968791297,NotImportant
2014-03-31,13846034,ADANIENT,13.248192029543016,0.882336956521739,1.0130434782608695,0.8766304347826087,12.473964092132414,22.24291048685545,26.135161429254534,11914890.2,1.1620781868388514,1.0975473009145955,,13.641304347826082,30.029713737756744,,49.16903121199838,89.86922875638346,,,33.02322344227924,NotImportant
2014-04-07,16133020,ADANIENT,2.9483695652174013,0.9766398310677048,1.0096344199551273,0.9159297875148475,9.987099178926972,20.97413086784321,25.896382355730584,12647085.3,1.2756314690152362,1.1348391196433665,,9.37046324402798,30.75908523938918,,59.818603670111806,90.8143795796425,97.88283062645012,,31.913831573835694,Consolidation
2014-04-14,42632774,ADANIENT,15.533852448198491,0.8703449851496459,1.09184372858122,0.8508110578021476,14.726391781184194,27.08518452811593,32.87150426665027,15926583.6,2.676831081337494,2.1962179394551957,,24.10326707790724,40.72454054080396,,86.25531914893617,94.200556107212,84.98879761015684,,37.014908551299904,Consolidation
2014-04-21,53889664,ADANIENT,1.233721727210435,0.992552471225457,1.0647709320695102,0.9275558564658092,10.510406503609907,23.977532194518503,30.88212434977829,20431530.0,2.6375735933628075,1.9447478568340812,,13.721507560370124,43.40126846869677,,99.86468200270636,94.4184046443264,87.00522778192685,89.95895200617794,28.132909555141914,Consolidation
2014-04-28,16636973,ADANIENT,-3.3965244865718835,1.042051162247401,1.0505782034809017,0.9767550519799088,4.909334768912573,18.261106710613547,26.08098008278907,21191429.3,0.785080268276194,0.5811496231987677,,7.382315150099279,41.827766006203866,,94.4356120826709,84.24214122159825,81.38536221060495,84.45979586756287,21.989498225702043,Consolidation
2014-05-05,22185118,ADANIENT,-0.4205116224740179,0.997067448680352,1.052199413489736,0.9283284457478006,3.005185920364459,15.356514575573929,23.62142693427497,21455471.2,1.0340074936224193,0.7322906313991124,,12.387096774193552,43.290730538710015,,70.7390346485079,83.00752197332505,80.71321882001496,83.03460293751559,19.52366006084052,EndOfConsolidation
2014-05-12,18727246,ADANIENT,0.9149560117301948,1.0008136696501222,1.0375450424270605,0.9768685342322446,2.5897330366234104,13.82052308232354,22.28776115658912,22515242.3,0.831758581607625,0.6077442153178283,,6.067650819481582,40.99863313354869,,62.9973474801061,83.60810468576463,82.16952949962659,81.42270351008217,19.13505752623805,Consolidation
2014-05-19,69682134,ADANIENT,25.653841683133805,0.8089731729879741,1.0823311748381128,0.8074005550416281,14.98485805205495,26.927286381173204,34.97423451689407,27818066.0,2.504923742721726,1.923633429086009,4.072184039809537,27.49306197964848,56.178815382408864,2.199712314954412,70.63930544593529,92.3897009847423,88.13016804481195,83.6709721214845,37.195539113334696,Consolidation
2014-05-26,23350344,ADANIENT,-9.53746530989824,1.1197463953369466,1.122609673790776,0.9179875242867368,4.014474250449181,16.47705425157253,25.775353873980585,28913361.7,0.8075969941606618,0.7753374469553312,3.090629990722537,20.46221495040392,62.028306664754346,1.4717354252890775,52.6775956284153,71.68840802633541,73.66689513365318,81.32219755936391,22.402192314247,Consolidation
2014-06-02,18483769,ADANIENT,-1.6259331219961148,1.0106029106029106,1.0176715176715176,0.932120582120582,1.6186793967527726,12.939926955104935,22.502850319388585,29556707.6,0.6253663043308653,0.6063090412862189,2.451204451911196,8.55509355509355,59.2445324427871,1.252928384230548,48.02277273426681,68.93969358338919,69.53719976567078,77.11142098137863,19.344648724080653,Consolidation
2014-06-09,18223136,ADANIENT,5.239085239085228,0.9488344527854604,1.0160015804030027,0.9423152903990518,4.344244422281161,14.806295984769667,24.164128315534867,29994417.8,0.607550915690719,0.6137115162761593,2.396011541198593,7.368629000395092,56.318594783748814,1.342957812776656,37.55434782608695,72.75977560583974,75.48607870586405,72.89672453506267,24.279917856021093,Consolidation
2014-06-16,13598244,ADANIENT,-6.242591860924529,1.06826801517067,1.070480404551201,0.9511167298777916,-1.3498292926552586,7.829053688803332,17.521895506138723,29740940.2,0.4572230705739424,0.4743431395023723,2.0011227696382217,11.936367467340926,56.362782145915645,0.9442609412563208,25.273855087765607,61.768062603090925,61.05133180455108,68.6915367586953,15.947449788913076,Consolidation
