Date,Total Traded Quantity,Symbol,Weekly_Return,Normalized_Open,Normalized_High,Normalized_Low,EMA5_Diff_Pct,EMA13_Diff_Pct,EMA23_Diff_Pct,Volume_SMA10,Relative_Volume,Volume_Spike_Ratio_5Wk,Normalized_OBV,Normalized_Weekly_Range,ATR,Bollinger_Z_Score,ROC_10,RSI,Stochastic_%K,Stochastic_%D,VWAP_Diff_Pct,Label
2014-01-06,117946,BAJFINANCE,,1.005510973605337,1.0409616810080893,0.986238679944568,0.0,0.0,0.0,,,,,5.472300106352128,84.90000000000009,,,,,,0.0,NotImportant
2014-01-13,108284,BAJFINANCE,0.9313867672177568,0.9931987994124784,1.003831662302829,0.98154415990804,0.6151946697319887,0.7909645753696999,0.845892670881499,,,,,2.2287502394789,78.23333333333343,,,100.0,,,0.4834274250747211,Consolidation
2014-01-20,131424,BAJFINANCE,0.2298997381697365,1.000286715514495,1.0219815227779547,0.9761070404587447,0.5621039963187054,0.8730194849522899,0.983881101553923,,,,,4.587448231920994,77.4022222222223,,,100.0,,,0.4507267603030439,Consolidation
2014-01-27,63205,BAJFINANCE,-4.953806944886907,1.0524551701022289,1.0792693145634322,0.9867605161722808,-3.0803989845384345,-3.6801240642777495,-3.8287684890353786,,,,,9.250879839115134,85.48192592592599,,,15.23442421188301,,,-3.872094161847704,Consolidation
2014-02-03,95830,BAJFINANCE,0.0435729847494625,0.9895805414098096,1.0443915840257303,0.9883409273653176,-2.023668893587615,-3.1156861849866,-3.468251324974504,,,0.927347011451763,,5.605065666041282,85.23766913580255,,,15.921909206475902,,,-3.14214326836489,Consolidation
2014-02-10,29638,BAJFINANCE,-0.4455909943714919,1.0182399461551404,1.0259464916708734,0.9927645970048796,-1.6535412897145896,-3.066185945034409,-3.603746763773149,,,0.3459303750633198,,3.3181894665993577,80.44597991769554,,,14.53071755266184,,,-3.38642507923823,EndOfConsolidation
2014-02-17,40171,BAJFINANCE,1.2182399461551308,0.9967416963127972,1.005685407454201,0.9708415067992154,-0.286708103065891,-1.5648896030673047,-2.1603957784483963,,,0.5575155162268088,,3.48439006549856,76.70651592866948,,,32.93412535012274,,,-2.0612280561877734,Breakout
2014-02-24,117490,BAJFINANCE,1.4928350566878468,1.0161829260302693,1.033872764201009,0.9783135687610562,0.7922575374890608,-0.0608526106491548,-0.602929912512586,,,1.6961950025120258,,5.55591954399528,77.78564713818021,,,48.73260012084149,,,-0.4996677170518055,NotImportant
2014-03-03,235266,BAJFINANCE,4.104697634803123,0.951571792693288,1.0031781994398816,0.951571792693288,3.1359168757017857,3.32948748384577,3.0833899126180127,,,2.269176978944627,,5.160640674659367,78.34756085308952,,,70.84625581710068,,,2.662755420484725,NotImportant
2014-03-10,196127,BAJFINANCE,5.233015513389328,0.94013515938042,1.001734346031936,0.9269780515519408,5.301842042799002,6.974320984283258,7.244277476337045,113538.1,1.7274113271227896,1.5850132214413637,,7.475629447999522,84.5678860726776,,,82.44336292346723,,,6.556120166084137,NotImportant
2014-03-17,61961,BAJFINANCE,-0.9748220800191332,1.0090288682207995,1.04179248701534,0.9844184080202923,2.913077295874776,5.193050636457138,5.803575313545058,107939.6,0.5740339967907978,0.4758799720436549,,5.737407899504771,85.95883459632059,,6.725966031776709,75.63775080501657,,,5.216974039755826,NotImportant
2014-03-24,146331,BAJFINANCE,0.0694528324676868,0.995805546335134,1.0234466942273457,0.9904040556444068,1.9869734095816465,4.50758661250011,5.379872659899569,111744.3,1.3095164585576178,0.9662957704625748,,3.304263858293853,81.7976566501445,,5.814547544543069,75.80037243857464,,,4.686942250593132,Consolidation
2014-03-31,282571,BAJFINANCE,8.090165665831805,0.9229759910664432,1.0188721384701285,0.9212730318257956,6.215267296112518,9.989875873453956,11.423365905547486,126859.0,2.227441490158365,1.531955335611804,,9.759910664433274,94.1979690967919,,14.11277476903472,87.24856442406126,,,10.627353423180846,Consolidation
2014-04-07,145624,BAJFINANCE,-1.2897822445561036,1.0125007070535663,1.0181571355845918,0.9398721647151989,3.326562108466738,7.554661796977539,9.410493226671534,135100.9,1.077890672823053,0.874498867422359,,7.8284970869393105,100.09157321721966,,18.51181498240322,79.74725574301135,84.40241228070178,,8.380969076577681,Consolidation
2014-04-14,221628,BAJFINANCE,-0.3111035692064057,1.0014752610077169,1.0304130730821606,0.989588061733999,2.016579343152637,6.22814016157022,8.367137649878881,147680.7,1.5007241975424004,1.2913653764355593,,4.0825011348161615,96.33936345492371,,18.09166443312784,77.90710074180447,82.8947368421053,,7.086149551454223,EndOfConsolidation
2014-04-21,267267,BAJFINANCE,0.3716522923286502,0.9983323440459028,1.017496254840442,0.987026201984228,1.586259055512099,5.636018568279656,7.980896263113335,171443.6,1.5589208346068328,1.2566377756316642,,3.047005285621419,90.6807816609339,,19.06108026249369,78.58608734187523,84.69024122807019,83.99579678362575,6.541486916788383,Breakout
2014-04-28,257046,BAJFINANCE,4.966222900590744,0.9564842740198192,1.001723395088324,0.944851357173632,4.161644749478712,8.657676053898397,11.306677747153596,193131.1,1.330940485504406,1.0946176592830812,,5.68720379146919,92.67001077280936,,23.46976094690296,85.48815804516076,99.2,88.92832602339183,10.497760503104626,NotImportant
2014-05-05,91641,BAJFINANCE,1.149827660491165,0.9803796288901312,1.0105689108963607,0.972472912174214,3.500729253372409,8.31087106090501,11.288663119295707,190546.2,0.4809384810612859,0.4660315335748561,,3.809599872214677,89.85400933643477,,23.05247985323986,86.69106160948554,95.4680365296804,93.1194259192502,11.308268940612166,NotImportant
