Company,N-bars,Date,Link
APOLLOHOSP,12,13-11-2017,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c0af5df1f7.91969530.png
APOLLOHOSP,6,31-12-2018,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c103cea479.64447754.png
APOLLOHOSP,9,12-08-2019,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c14f880148.77066101.png
APOLLOHOSP,17,13-07-2020,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c1903ec883.93173884.png
APOLLOHOSP,5,14-09-2020,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c1dc15f426.16987866.png
APOLLOHOSP,6,09-11-2020,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c20875ded7.60449370.png
APOLLOHOSP,5,04-01-2021,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c23b2ff911.94157434.png
APOLLOHOSP,6,05-04-2021,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c270cddd47.35764508.png
APOLLOHOSP,12,25-07-2022,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c2c2b7fb27.92524727.png
APOLLOHOSP,31,28-11-2022,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c2fa16b435.96444819.png
ASIANPAINT,10,09-06-2014,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c3debcee26.95588756.png
ASIANPAINT,5,21-07-2014,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c40e52aa75.64575057.png
ASIANPAINT,18,09-05-2016,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c4518a3704.76553944.png
ASIANPAINT,6,07-11-2016,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c48f565824.76284540.png
ASIANPAINT,15,20-02-2017,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c4cdae7b97.41772026.png
ASIANPAINT,6,24-04-2017,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c4fcd6a875.84797381.png
ASIANPAINT,7,02-07-2018,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c54a95aa49.66266707.png
ASIANPAINT,5,10-05-2021,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c5ab9fba72.61675940.png
ASIANPAINT,17,01-05-2023,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c604da25c3.97456912.png
BAJAJFINSV,10,24-03-2014,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c949d2a0a6.81176555.png
BAJAJFINSV,3,21-04-2014,https://kiranjadhav.com/chart_snapshots/pisnetin68a1c9a62ac184.96215844.png
BAJAJFINSV,6,19-01-2015,https://kiranjadhav.com/chart_snapshots/pisnetin68a1ce5acefbb9.58415566.png
BAJAJFINSV,15,06-07-2015,https://kiranjadhav.com/chart_snapshots/pisnetin68a1ceb115e128.59576051.png
BAJAJFINSV,7,13-06-2016,https://kiranjadhav.com/chart_snapshots/pisnetin68a1ceef540e32.18413789.png
BAJAJFINSV,12,30-01-2017,https://kiranjadhav.com/chart_snapshots/pisnetin68a1cf19af66c6.26833381.png
BAJAJFINSV,12,10-07-2017,https://kiranjadhav.com/chart_snapshots/pisnetin68a1cf56507567.98290118.png
BAJAJFINSV,6,14-05-2018,https://kiranjadhav.com/chart_snapshots/pisnetin68a1cfbf02dd22.19106207.png
BAJAJFINSV,8,25-02-2019,https://kiranjadhav.com/chart_snapshots/pisnetin68a1d0277a9674.52023281.png
BAJAJFINSV,17,4-11-2019,https://kiranjadhav.com/chart_snapshots/pisnetin68a1d0f6445752.08262175.png
BAJAJFINSV,33,02-11-2020,https://kiranjadhav.com/chart_snapshots/pisnetin68a1d12f683e99.28576784.png
BAJAJFINSV,9,01-02-2021,https://kiranjadhav.com/chart_snapshots/pisnetin68a1d16314b929.42200176.png
BAJAJFINSV,11,26-04-2021,https://kiranjadhav.com/chart_snapshots/pisnetin68a1d1c0d09020.42829262.png
SBIN,22,27-10-2014,https://kiranjadhav.com/chart_snapshots/pisnetin689b4680ec3b56.42256412.png
SBIN,28,11-07-2016,https://kiranjadhav.com/chart_snapshots/pisnetin689b46f937b128.06723453.png
SBIN,23,23-07-2018,https://kiranjadhav.com/chart_snapshots/pisnetin689b4752085088.53696692.png
SBIN,7,20-05-2019,https://kiranjadhav.com/chart_snapshots/pisnetin689b47961e9b78.98136934.png
SBIN,15,13-09-2021,https://kiranjadhav.com/chart_snapshots/pisnetin689b48404540f7.23725272.png
SBIN,7,29-01-2024,https://kiranjadhav.com/chart_snapshots/pisnetin689b48bb0869c9.32079268.png
SBIN,7,22-04-2024,https://kiranjadhav.com/chart_snapshots/pisnetin689b48f087a1f5.17294251.png
BAJFINANCE,5,17-02-2014,https://kiranjadhav.com/chart_snapshots/pisnetin68a1d29546b8f5.79972650.png
BAJFINANCE,4,21-04-2014,https://kiranjadhav.com/chart_snapshots/pisnetin68a1d2e1af9c84.36237048.png
BAJFINANCE,19,13-03-2017,
BAJFINANCE,28,02-04-2018,https://kiranjadhav.com/chart_snapshots/pisnetin68a1d3cd05e9e9.92963123.png
BAJFINANCE,6,14-05-2018,https://kiranjadhav.com/chart_snapshots/pisnetin68a1d402a35c18.22257401.png
BAJFINANCE,10,02-11-2020,https://kiranjadhav.com/chart_snapshots/pisnetin68a1d49283bff8.04362796.png
BAJFINANCE,10,16-08-2021,https://kiranjadhav.com/chart_snapshots/pisnetin68a1d4c6bead59.91996401.png
BAJFINANCE,20,24-04-2023,https://kiranjadhav.com/chart_snapshots/pisnetin68a1d58b5ac980.68725434.png
