Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Symbol,20_SMA,20_STD,VWAP,Weekly_Return,Normalized_Open,Normalized_High,Normalized_Low,EMA5_Diff_Pct,EMA13_Diff_Pct,EMA23_Diff_Pct,Volume_SMA20,Relative_Volume,Volume_SMA5,Volume_Spike_Ratio_5Wk,OBV,Normalized_OBV,Normalized_Weekly_Range,High-Low,High-PrevClose,Low-PrevClose,True_Range,ATR,Bollinger_Z_Score,ROC_10,RSI,Stochastic_%K,Stochastic_%D,VWAP_Diff_Pct
2014-01-06,744.0,767.0,715.0,731.7,220849,BAJAJFINSV,,,731.7,,1.016810168101681,1.048243815771491,0.977176438431051,0.0,0.0,0.0,,,,,220849,,7.106737734044007,52.0,,,52.0,52.0,,,,,,0.0
2014-01-13,739.8,744.0,716.0,719.55,100280,BAJAJFINSV,,,727.9058798800482,-1.6605166051660625,1.0281425891181988,1.0339795705649364,0.9950663609200195,-1.125703564727974,-1.4473331546502433,-1.5478424015009444,,,,,120569,,3.8913209644916966,28.0,12.299999999999955,15.700000000000045,28.0,48.800000000000004,,,0.0,,,-1.147934109479272
2014-01-20,712.05,734.8,678.0,684.25,159866,BAJAJFINSV,,,713.3961845757233,-4.905843930234166,1.0406284252831566,1.0738765071245888,0.9908659115820241,-4.228473998294979,-5.72651420816775,-6.221075386676415,,,,,-39297,,8.30105955425648,56.799999999999955,15.25,41.549999999999955,56.799999999999955,49.86666666666666,,,0.0,,,-4.08555375062138
2014-01-27,678.05,709.0,661.05,677.2,108171,BAJAJFINSV,,,706.7505575678161,-1.0303251735476748,1.0012551683402242,1.04695806261075,0.9761518015357352,-3.5423639824112425,-5.851869901618574,-6.716317085876479,,,,,-147468,,7.080626107501482,47.950000000000045,24.75,23.200000000000045,47.950000000000045,49.611111111111114,,,0.0,,,-4.181186311265214
2014-02-03,671.1,688.6,662.0,664.5,67360,BAJAJFINSV,,,702.4156225343703,-1.8753691671588912,1.0099322799097066,1.036267870579383,0.9962377727614747,-3.6808516567734233,-6.749933953403567,-8.026233914736784,,,131305.2,0.5130032930912104,-214828,,4.003009781790824,26.600000000000023,11.399999999999977,15.200000000000045,26.600000000000023,46.54296296296297,,,0.0,,,-5.397889983933982
2014-02-10,661.2,698.0,658.35,680.7,98367,BAJAJFINSV,,,699.585949134513,2.4379232505643333,0.9713530189510797,1.0254150139562215,0.9671661524900838,-0.8088986101816122,-3.608047739138285,-5.000704764674662,,,106808.8,0.9209634412145815,-116461,,5.824886146613776,39.64999999999998,33.5,6.149999999999977,39.64999999999998,45.6239012345679,,,25.98834619338585,,,-2.6995895440549647
2014-02-17,684.0,708.8,678.0,691.25,117294,BAJAJFINSV,,,698.4649087867624,1.5498751285441426,0.989511754068716,1.025388788426763,0.9808318264014466,0.4864450546588167,-1.737223162219304,-3.1149821659378416,,,110211.6,1.0642618381368203,833,,4.455696202531638,30.799999999999955,28.09999999999991,2.7000000000000455,30.799999999999955,43.64738106995885,,,38.08021519566101,,,-1.0329665379030633
2014-02-24,695.0,719.95,679.5,711.1,145865,BAJAJFINSV,,,700.2752461563849,2.871609403254971,0.9773590212347067,1.0124455069610463,0.9555618056532132,2.1762107008230425,0.9451889295649475,-0.2168642061887468,,,107411.4,1.3580029680276025,146698,,5.6883701307833,40.450000000000045,28.700000000000045,11.75,40.450000000000045,43.22106359396434,,,54.29229406129476,,,1.5457855897419117
2014-03-03,718.95,731.0,708.1,715.3,100706,BAJAJFINSV,,,701.6277127850706,0.5906342286598143,1.0051027540891935,1.0219488326576263,0.9899342933035091,1.8337326337250184,1.3086902771827444,0.3406107568818295,,,105918.4,0.950788531548815,247404,,3.2014539354117124,22.899999999999977,19.899999999999977,3.0,22.899999999999977,40.51158844810242,,,57.03845417532129,,,1.9486526780218005
2014-03-10,714.0,734.4,712.0,725.65,176868,BAJAJFINSV,,,704.9070340514933,1.4469453376205754,0.9839454282367532,1.0120581547578034,0.9811892785778268,2.15592361138611,2.328284381808011,1.6152217113821365,,,127820.0,1.3837271162572367,424272,,3.0868876179976543,22.399999999999977,19.100000000000023,3.2999999999999545,22.399999999999977,38.096709988355435,,,63.306899065396586,,,2.9426527111362946
