Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Symbol,20_SMA,20_STD,VWAP,Weekly_Return,Normalized_Open,Normalized_High,Normalized_Low,EMA5_Diff_Pct,EMA13_Diff_Pct,EMA23_Diff_Pct,Volume_SMA20,Relative_Volume,Volume_SMA5,Volume_Spike_Ratio_5Wk,OBV,Normalized_OBV,Normalized_Weekly_Range,High-Low,High-PrevClose,Low-PrevClose,True_Range,ATR,Bollinger_Z_Score,ROC_10,RSI,Stochastic_%K,Stochastic_%D,VWAP_Diff_Pct
2014-01-06,3492.0,3580.5,3454.25,3517.9,3378513,INFY,,,3517.9,,0.9926376531453424,1.0177947070695585,0.9819068194093067,0.0,0.0,0.0,,,,,3378513,,3.588788766025185,126.25,,,126.25,126.25,,,,,,0.0
2014-01-13,3519.05,3675.0,3417.85,3665.0,9584122,INFY,,,3626.660629779362,4.181471900849942,0.9601773533424284,1.0027285129604366,0.9325648021828103,2.6757617098681203,3.4402650555447187,3.6791723510686687,,,,,12962635,,7.016371077762622,257.1500000000001,157.0999999999999,100.05000000000018,257.1500000000001,143.70333333333335,,,100.0,,,1.057153512126956
2014-01-20,3645.0,3764.65,3640.45,3749.3,9699256,INFY,,,3679.150099764402,2.300136425648036,0.9721814738751233,1.0040940975648787,0.9709679140106152,3.2426793742239233,4.8097141398367045,5.357796418294388,,,,,22661891,,3.3126183554263533,124.20000000000027,99.65000000000009,24.550000000000182,124.20000000000027,141.10288888888894,,,100.0,,,1.906687640715997
2014-01-27,3750.0,3799.0,3711.2,3732.2,5219400,INFY,,,3689.0810835660373,-0.45608513589204813,1.0047693049675794,1.0178982905524891,0.9943732918921816,1.8662411406637107,3.7487796300511538,4.513822214382551,,,,,17442491,,2.3524998660307643,87.80000000000018,49.69999999999982,38.100000000000364,87.80000000000018,133.9958370370371,,,91.47763141281916,,,1.1688253919396594
2014-02-03,3707.0,3743.7,3624.8,3629.15,4893537,INFY,,,3680.1329061757397,-2.761106050050899,1.0214513040243582,1.0315638648168304,0.9988013722221457,-0.6135164459657569,0.8706159849182127,1.6522776213370596,,,6554965.6,0.7465389292050595,12548954,,3.2762492594684605,118.89999999999964,11.5,107.39999999999964,118.89999999999964,131.9830587654321,,,57.439251679526635,,,-1.3853550259063647
2014-02-10,3581.0,3601.85,3541.0,3573.8,3526611,INFY,,,3669.8028805097783,-1.5251505173387692,1.0020146622642565,1.0078487884044993,0.990822094129498,-1.4478600201236151,-0.5697186664056771,0.11833801145908623,,,6584585.2,0.5355859014475202,9022343,,1.7026694275001375,60.84999999999991,27.300000000000182,88.15000000000009,88.15000000000009,126.13865093004117,,,46.67556419318749,,,-2.616022812005702
2014-02-17,3584.0,3685.0,3573.5,3658.15,4145339,INFY,,,3668.608591559506,2.360232805417195,0.9797301914902341,1.0073397755696185,0.9768598881948526,0.5942234663390275,1.4993385251325715,2.2196347023968674,,,5496828.6,0.7541328467109198,13167682,,3.0479887374765933,111.5,111.19999999999982,0.3000000000001819,111.5,124.18683080603569,,,59.89164133739405,,,-0.2850833306002769
2014-02-24,3647.0,3762.0,3647.0,3749.9,3841873,INFY,,,3675.6603138442856,2.5080983557262515,0.9725592682471532,1.0032267527134056,0.9725592682471532,2.017610882670301,3.3509019804064155,4.227719929249316,,,4325352.0,0.888222045280939,17009555,,3.0667484466252435,115.0,103.84999999999991,11.150000000000091,115.0,122.96192003189759,,,69.40770346770381,,,2.0197646087178542
2014-03-03,3755.0,3849.95,3755.0,3798.25,4061919,INFY,,,3685.9590419751003,1.2893677164724338,0.9886131771210426,1.013611531626407,0.9886131771210426,2.1765881741899222,3.9267438582789445,4.992952820149894,,,4093855.8,0.9921988458899799,21071474,,2.4998354505364264,94.94999999999982,100.04999999999973,5.099999999999909,100.04999999999973,119.90699736097788,,,73.26467287068078,,,3.046451594989218
2014-03-10,3770.0,3849.95,3645.3,3671.6,5076618,INFY,,,3684.59465478419,-3.334430329757132,1.0268003050441226,1.0485755528924718,0.9928369103388169,-0.7985208932315077,0.5252100741696016,1.5727546923338993,,,4130472.0,1.2290648623208196,15994856,,5.573864255365499,204.64999999999964,51.69999999999982,152.94999999999982,204.64999999999964,131.20606437951412,,,53.04968296913959,,,-0.3526752872888584
2014-03-17,3653.0,3708.9,3335.05,3394.15,7502850,INFY,,,3648.8296569329236,-7.556651051312779,1.076263571144469,1.0927330848666088,0.982587687639026,-6.025435786394989,-6.519613879766804,-5.933621392393159,,,4925719.8,1.5231987008274406,8492006,,11.014539722758272,373.8499999999999,37.30000000000018,336.5499999999997,373.8499999999999,163.55858912891222,,-3.5177236419454805,31.25277350758347,,,-6.979762852152385
2014-03-24,3400.0,3411.9,3238.75,3275.8,7069901,INFY,,,3610.0460523685174,-3.4868818408143376,1.0379144025886806,1.041547102997741,0.9886897857012027,-6.5706560991498435,-8.88687102387478,-8.947448245184482,,,5510632.2,1.2829564273950274,1422105,,5.285731729653827,173.1500000000001,17.75,155.4000000000001,173.1500000000001,164.83744391172394,,-10.619372442019092,25.99568958851411,,,-9.258775304243597
2014-03-31,3248.0,3304.95,3215.95,3282.8,5741219,INFY,,,3584.5678621082952,0.2136882593565037,0.989399293286219,1.0067472888997195,0.979636286097234,-4.228941807724127,-7.418304609308005,-7.988875364966091,,,5890501.4,0.9746570979509486,7163324,,2.711100280248568,89.0,29.149999999999636,59.850000000000364,89.0,154.7257847234941,,-12.442322566879149,26.835601683138805,,,-8.418528361485885
2014-04-07,3283.05,3356.0,3256.0,3293.4,3749512,INFY,,,3570.4792319159196,0.3228950895576954,0.9968573510657679,1.0190077123944858,0.9886439545758183,-2.5956499193127356,-6.062205026009504,-7.004531298182654,,,5828020.0,0.6433594943050984,10912836,,3.036375781866764,100.0,73.19999999999982,26.800000000000182,100.0,147.42901342702822,,-11.7571405605273,28.258272365212804,12.216088328075752,,-7.760281293310836
2014-04-14,3281.05,3309.8,3165.0,3235.15,6325782,INFY,,,3545.171317196175,-1.7686888929373867,1.0141879047339382,1.0230746642350432,0.9783163068173036,-2.961946832813432,-6.83305018738183,-8.18691964699684,,,6077852.8,1.0407922350472194,4587054,,4.475835741773957,144.80000000000018,16.40000000000009,128.4000000000001,144.80000000000018,147.0784783034245,,-10.856536654588545,25.156609083843264,10.24162347616616,,-8.744889582412801
