Date,Total Traded Quantity,Symbol,Weekly_Return,Normalized_Open,Normalized_High,Normalized_Low,EMA5_Diff_Pct,EMA13_Diff_Pct,EMA23_Diff_Pct,Volume_SMA10,Relative_Volume,Volume_Spike_Ratio_5Wk,Normalized_OBV,Normalized_Weekly_Range,ATR,Bollinger_Z_Score,ROC_10,RSI,Stochastic_%K,Stochastic_%D,VWAP_Diff_Pct
2014-01-06,752403,APOLLOHOSP,,0.9942370730675689,1.0443586761129322,0.9733002009093793,0.0,0.0,0.0,,,,,7.105847520355285,67.19999999999993,,,,,,0.0
2014-01-13,898464,APOLLOHOSP,-4.92756688167495,1.0455455455455456,1.0551662773884996,0.9743632521410298,-3.4553071590108684,-4.442537775871125,-4.751047343639927,,,,,8.08030252474698,67.92666666666662,,,0.0,,,-2.30768616921298
2014-01-20,586322,APOLLOHOSP,4.4822600378155775,0.9486374281456249,1.0027677240791995,0.9486374281456249,0.6552645896908081,0.03258701820091639,-0.235818371064266,,,,,5.413029593357465,65.64977777777774,,,49.94629430719652,,,1.5200830872357898
2014-01-27,496598,APOLLOHOSP,-0.4843517138599096,1.0066855645290689,1.0158849013210676,0.9894635503021875,0.11449648289781846,-0.38911155045688073,-0.6633689500593186,,,,,2.642135101888008,60.18980740740738,,,46.895000193941264,,,0.8399943705062812
2014-02-03,529690,APOLLOHOSP,0.2941648392790208,0.9908276450511945,1.0343430034129693,0.9556847269624573,0.27164180676694083,-0.0811441975968619,-0.33744445859930333,,,0.8115424131991738,,7.865827645051195,61.99783308641973,,,49.06503171962222,,,0.9503921301263293
2014-02-10,850172,APOLLOHOSP,0.8585750853242313,0.9887379051446096,1.0137471580394437,0.9682229154549781,0.74706382419476,0.6606967546130742,0.47363654909235253,,,1.2646679237401846,,4.552424258446567,59.47145534156376,,,55.24246276747065,,,1.4361860004830411
2014-02-17,491923,APOLLOHOSP,-2.643684238354571,1.0282952261988814,1.0297072720360616,0.9862053983598545,-1.2987484166261059,-1.7458585446619206,-2.0432268479569666,,,0.8324401251563185,,4.350187367620698,56.88192796268859,,,38.507379794753135,,,-1.1139195200514627
2014-02-24,393689,APOLLOHOSP,-1.2491174713517572,1.026123301985371,1.0310729802562832,0.9866358686685366,-1.7200628644094889,-2.5995942858491046,-3.056157287327668,,,0.7126696914490281,,4.443711158774677,54.68433756766345,,,33.17340850805772,,,-2.1681416136327294
2014-03-03,383173,APOLLOHOSP,-0.7314524555903867,1.0085318559556786,1.0282548476454294,0.9924653739612189,-1.6463860780630895,-2.8762211111797846,-3.4975585757630143,,,0.7233372359548101,,3.5789473684210473,51.69975922530831,,,30.366825978448176,,,-2.683953301501332
2014-03-10,616777,APOLLOHOSP,-3.3351800554016653,1.0357060981201283,1.0475699220541037,0.9915176524530033,-3.4356284849854437,-5.50775157480818,-6.479444899213592,599921.1,1.0280968614039414,1.1272605450676125,,5.605226960110039,51.326457995267205,,,21.060932545061803,,,-5.352627252014673
2014-03-17,612019,APOLLOHOSP,-0.9685923888124615,1.0120956073846865,1.0255223103188842,0.9862839284680827,-2.964864703050948,-5.605445891077676,-6.894143664835265,585882.7,1.0446101241767338,1.2252235262840323,,3.923838185080152,49.00293026256491,,-8.644390398646507,19.15910149963966,,,-5.722212113455467
2014-03-24,620017,APOLLOHOSP,4.629897563516416,0.9550306986005862,1.005365341003374,0.9509375518557442,1.06090317664997,-0.7991829297732009,-1.983714955803114,558038.0,1.1110659130740201,1.1806811581783732,,5.442778914762977,49.029206227556244,,0.5394283172061032,45.8615605407942,,,-1.2423206032962006
2014-03-31,683556,APOLLOHOSP,1.382819846230432,0.977685634786404,1.0093294778765889,0.9570625784276283,1.6069277658593697,0.49343687112367507,-0.543307552446977,567761.4,1.2039494055073134,1.1722623100610452,,5.226689944896064,48.87864539721541,,-2.4430487545241575,51.62330803781531,,,0.11265773343930971
2014-04-07,684386,APOLLOHOSP,-2.493316602105955,1.0273052820053714,1.0340196956132497,0.9903760071620411,-0.6060362943734663,-1.7580155193682545,-2.8547500998620157,586540.2,1.1668185744131434,1.0637832225332673,,4.364368845120859,47.56149267758669,,-4.412472589185434,42.15946234345372,30.616008852821846,,-2.1979434424822895
2014-04-14,549995,APOLLOHOSP,0.31893464637422486,1.005410229237548,1.0095376206146467,0.9819844943945562,-0.19079259497808018,-1.2295763461662021,-2.317107440608659,588570.7,0.934458681004678,0.8730154194972465,,2.7553126220090407,44.51329365390847,,-4.388865187713309,43.64625752567547,37.680543755310154,,-1.7746545068584256
2014-04-21,265496,APOLLOHOSP,-0.5242902560098184,1.0036445192038128,1.0092514718250631,0.9765629380431735,-0.4792344803424803,-1.5112375014016084,-2.618342268616952,530103.1,0.5008384218088896,0.47351655995291514,,3.2688533781889517,42.464854500054,,-5.699783217892451,41.61096196873912,33.68734069668649,33.99463110160617,-2.226509690687436
2014-04-28,1063982,APOLLOHOSP,2.0409307541351396,0.9814275509643386,1.0104950821473706,0.9649980768174076,1.0203070880484824,0.4449418333425993,-0.5187074288359046,587309.0,1.8116221614175843,1.638198382405698,,4.549700532996315,42.3228739000468,,-1.162222342909891,51.678865254592864,49.15038232795247,40.172755593316374,-0.207611811000054
2014-05-05,1322034,APOLLOHOSP,4.989285125556342,0.9536295598471763,1.0244413042340503,0.9326424870466321,3.816003513385824,4.4365563746271794,3.903283606918796,680143.5,1.9437574570660456,1.7010684545354182,,9.179881718741827,48.37315738004057,,5.081669691470059,67.70614894633138,81.5560821484992,54.79793505771272,4.214257212568684
2014-05-12,578634,APOLLOHOSP,-0.549536818966867,1.010419955794127,1.0149457951794547,0.968319124302705,2.1896775472849384,3.350141307681965,3.0912554759647,699689.6,0.8269867095351996,0.7653603397333592,,4.6626670876749765,47.83006972936848,,5.27423822714681,64.83672178181072,77.40916271721957,69.37187573122375,3.4654491516370527
2014-05-19,514494,APOLLOHOSP,-4.610041048310709,1.0482180293501049,1.0603552907425797,0.9941520467836258,-1.6915571461433572,-1.1321045477574825,-1.4595038338248296,689461.3,0.7462260753431701,0.6869739147154332,3.1034960533178824,6.620324395895399,49.45272709878602,-0.32648359668301197,3.8858321870701484,46.04974076146178,42.81200631911526,67.25908372827801,-1.2529559833500066
2014-05-26,1212926,APOLLOHOSP,-0.25377910184265495,1.0033185840707965,1.0486725663716814,0.9966814159292036,-1.3001904436207377,-1.1909225837224435,-1.5745051226539284,749552.0,1.61820127222661,1.2925276050868806,-0.6744107300472776,5.199115044247788,49.12569681894789,-0.3477667684630406,4.635684935470796,45.255218182511484,40.99526066350708,53.738809899947306,-1.3760556567140938
2014-06-02,972819,APOLLOHOSP,2.2013274336283084,0.9817079770537938,1.0106072085723563,0.9762420175343652,0.5878181902564178,0.8474070950612187,0.5622110131263669,784832.2,1.239524830912901,1.0572035035700569,2.379913978756281,3.436519103799113,46.808937243088174,0.40330733154036863,2.206980474583764,53.29928597157374,56.71406003159552,46.84044233807262,0.7433129938200049
