Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Symbol,20_SMA,20_STD,VWAP,Weekly_Return,Normalized_Open,Normalized_High,Normalized_Low,EMA5_Diff_Pct,EMA13_Diff_Pct,EMA23_Diff_Pct,Volume_SMA20,Relative_Volume,Volume_SMA5,Volume_Spike_Ratio_5Wk,OBV,Normalized_OBV,Normalized_Weekly_Range,High-Low,High-PrevClose,Low-PrevClose,True_Range,ATR,Bollinger_Z_Score,ROC_10,RSI,Stochastic_%K,Stochastic_%D,VWAP_Diff_Pct
2014-01-06,350.1,354.7,328.0,329.8,3559386,BPCL,,,329.8,,1.06155245603396,1.075500303214069,0.9945421467556095,0.0,0.0,0.0,,,,,3559386,,8.095815645845963,26.69999999999999,,,26.69999999999999,26.69999999999999,,,,,,0.0
2014-01-13,330.5,332.95,316.05,331.5,6154297,BPCL,,,330.87706880078343,0.5154639175257714,0.9969834087481146,1.0043740573152338,0.9533936651583711,0.34188034188033956,0.43956043956043905,0.4700854700854712,,,,,9713683,,5.098039215686267,16.899999999999977,3.1499999999999773,13.75,16.899999999999977,25.39333333333332,,,100.0,,,0.18826665790841632
2014-01-20,329.1,344.5,325.2,342.55,5157468,BPCL,,,334.9253613052548,3.3333333333333437,0.9607356590278792,1.0056925996204933,0.9493504597868924,2.3711055969120434,3.1295893047045076,3.3740005514199103,,,,,14871151,,5.634213983360096,19.30000000000001,13.0,6.300000000000011,19.30000000000001,24.58088888888888,,,100.0,,,2.276518763771977
2014-01-27,343.0,349.7,331.85,337.65,4590697,BPCL,,,335.5680541616603,-1.4304481097650035,1.0158448097142012,1.0356878424403968,0.9828224492818008,0.6362055821555148,1.4775422131789722,1.8074442908775745,,,,,10280454,,5.286539315859608,17.849999999999966,7.149999999999977,10.699999999999989,17.849999999999966,23.683437037037024,,,68.8959106233512,,,0.6204243260106886
2014-02-03,337.7,366.0,333.85,356.45,8938042,BPCL,,,342.1400411991033,5.567895750037022,0.9473979520269322,1.0267919764342825,0.9365969981764625,3.917921755860667,5.720438759064288,6.404151870987746,,,5679978.0,1.573605038611065,19218496,,9.019497825782011,32.14999999999998,28.350000000000023,3.7999999999999545,32.14999999999998,24.812312098765418,,,86.9144424109928,,,4.182485847240909
2014-02-10,353.0,362.0,345.9,354.8,4085439,BPCL,,,343.7321903635331,-0.46289802216299414,0.9949267192784668,1.020293122886133,0.9749154453213077,2.31406089792659,4.527420830250752,5.47147671893777,,,5785188.6,0.7061894231071395,15133057,,4.537767756482531,16.100000000000023,5.550000000000011,10.550000000000011,16.100000000000023,23.6506704855967,,,82.09818734144163,,,3.2198932618913365
2014-02-17,356.15,370.8,349.85,357.5,4839716,BPCL,,,345.5173801357775,0.7609921082299964,0.9962237762237761,1.0372027972027973,0.9786013986013987,2.034552553071055,4.498690694680434,5.669948563792605,,,5522272.4,0.8763993605241204,19972773,,5.860139860139856,20.94999999999999,16.0,4.949999999999989,20.94999999999999,23.29058108751714,,,83.79379929871904,,,3.4680223204730556
2014-02-24,355.0,368.5,342.2,364.0,3844215,BPCL,,,347.2432106345852,1.8181818181818077,0.9752747252747253,1.0123626373626373,0.9401098901098901,2.522623695463191,5.317775329705459,6.74154595400972,,,5259621.8,0.730891905573895,23816988,,7.225274725274729,26.30000000000001,11.0,15.300000000000011,26.30000000000001,23.691836942514858,,,87.16954066961173,,,4.825663642146343
2014-03-03,365.25,385.0,365.25,376.65,5370225,BPCL,,,350.63648143291664,3.475274725274713,0.9697331740342494,1.0221691225275455,0.9697331740342494,3.864303774766311,7.283769061871278,9.050876144930067,,,5415527.4,0.9916347205629501,29187213,,5.243594849329616,19.75,21.0,1.25,21.0,23.332925350179543,,,91.25841147659357,,,7.41894239320908
2014-03-10,375.9,423.3,374.45,418.8,6958504,BPCL,,,359.50253650282076,11.190760653126253,0.89756446991404,1.0107449856733524,0.8941021967526265,9.026567998671961,14.241571054346744,16.687388073039454,,,5019619.8,1.3862611666325804,36145717,,11.664278892072593,48.85000000000002,46.650000000000034,2.1999999999999886,48.85000000000002,26.735201970155607,,,96.07159489183147,,,16.49431018596276
2014-03-17,420.1,458.8,409.05,444.75,11993319,BPCL,,,375.11376881570305,6.196275071633228,0.944575604272063,1.0315907813378302,0.9197301854974705,9.556419978030828,16.49601533618003,19.752756112961986,,,6601195.8,1.8168403670135038,48139036,,11.186059584035975,49.75,40.0,9.75,49.75,29.803841707468194,,34.85445724681624,97.17612070653654,,,18.56402962870443
2014-03-24,445.3,460.0,426.0,434.0,8340287,BPCL,,,381.7657728584897,-2.417088251826871,1.026036866359447,1.0599078341013826,0.9815668202764977,4.8774466746992395,12.366562516325347,16.284643067134848,,,7301310.0,1.1423000803965315,39798749,,7.834101382488479,34.0,15.25,18.75,34.0,30.36332947980577,,30.920060331825038,85.66349462015728,,,13.682270872635858
2014-03-31,434.0,469.35,431.2,460.05,7908340,BPCL,,,389.3397730686965,6.0023041474654315,0.9433757200304315,1.020215194000652,0.9372894250624931,6.8424618437408435,14.853208127225672,19.27288446953262,,,8114135.0,0.9746374690586243,47707089,,8.292576893815896,38.150000000000034,35.35000000000002,2.8000000000000114,38.150000000000034,31.40155221583167,,34.30156181579331,89.23083187242389,,,18.16157295566799
2014-04-07,459.1,463.8,431.65,438.1,10540912,BPCL,,,394.9094798701837,-4.771220519508745,1.0479342615841132,1.0586624058434146,0.9852773339420222,1.4500107604245158,9.0746764905537,13.959216979056022,,,9148272.4,1.1522297914959332,37166177,,7.338507190139246,32.150000000000034,3.75,28.400000000000034,32.150000000000034,31.50134525372079,,29.749740855915906,71.84897570702226,79.61513372472277,,10.936815227634973
2014-04-14,441.9,457.6,435.0,444.35,4531486,BPCL,,,397.2236377657586,1.426614928098613,0.9944863283447731,1.0298188365027567,0.9789580285810734,1.890776361189719,8.874501960510353,13.905304104078786,,,8662868.8,0.5230929966294768,41697663,,5.086080792168341,22.600000000000023,19.5,3.1000000000000227,22.600000000000023,30.314499219891353,,24.65984008977418,73.54225074378432,83.69210697977822,,11.863937025326692
2014-04-21,445.25,468.6,432.75,463.85,6238948,BPCL,,,401.2573422027622,4.388432541915166,0.9599008300097014,1.0102403794330064,0.9329524630807373,4.010156266170303,10.890315427375418,16.06428814363867,,,7511994.6,0.8305314809464853,47936611,,7.72879163522691,35.85000000000002,24.25,11.600000000000023,35.85000000000002,31.05256599057251,,30.735625704622315,78.25161976237568,96.18453000346861,86.49725690265653,15.59913083549477
2014-04-28,463.8,493.7,452.65,456.45,7931471,BPCL,,,405.2017295678521,-1.5953433221946867,1.0161025303976339,1.0816080622193012,0.9916748822434002,1.6359747092607326,8.09628244868895,13.478223355916072,,,7430231.4,1.0674594871971281,40005140,,8.9933179975901,41.05000000000001,29.849999999999966,11.200000000000045,41.05000000000001,32.38555719182951,,27.678321678321673,72.59373638604265,76.9848625270312,85.62049983675934,12.647594196304194
2014-05-05,458.4,475.0,442.2,467.65,5215105,BPCL,,,408.0044859678436,2.453718917734693,0.9802202501871058,1.0157168822837592,0.9455789586229018,2.661164911140175,8.826286063211006,14.254514693839202,,,6891584.4,0.7567352726609573,45220245,,7.0137923660857515,32.80000000000001,18.55000000000001,14.25,32.80000000000001,32.44081623291891,,28.475274725274712,75.66631338814241,83.70347200500468,85.6242881785015,14.618837802890544
2014-05-12,470.0,505.5,458.65,502.45,7471393,BPCL,,,413.71034698358727,7.4414626323104915,0.935416459349189,1.0060702557468406,0.9128271469797989,6.268608844256088,12.9780293887846,18.510525385994114,,,6277680.6,1.1901518213589906,52691638,,9.324310876704155,46.85000000000002,37.85000000000002,9.0,46.85000000000002,34.362040735196395,,33.39970795167928,82.64285701008885,98.1322718922229,86.27353547475292,21.449705975067914
