Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Symbol,20_SMA,20_STD,VWAP,Weekly_Return,Normalized_Open,Normalized_High,Normalized_Low,EMA5_Diff_Pct,EMA13_Diff_Pct,EMA23_Diff_Pct,Volume_SMA20,Relative_Volume,Volume_SMA5,Volume_Spike_Ratio_5Wk,OBV,Normalized_OBV,Normalized_Weekly_Range,High-Low,High-PrevClose,Low-PrevClose,True_Range,ATR,Bollinger_Z_Score,ROC_10,RSI,Stochastic_%K,Stochastic_%D,VWAP_Diff_Pct
2014-01-06,570.65,575.75,558.05,563.5,2404764,HINDUNILVR,,,563.5,,1.0126885536823425,1.0217391304347827,0.9903283052351375,0.0,0.0,0.0,,,,,2404764,,3.141082519964516,17.700000000000045,,,17.700000000000045,17.700000000000045,,,,,,0.0
2014-01-13,563.0,565.9,543.5,545.7,4498774,HINDUNILVR,,,551.9004148018016,-3.1588287488908517,1.0317024005864026,1.03701667582921,0.995968480850284,-2.1745769959073984,-2.795884709023798,-2.9900433693726596,,,,,-2094010,,4.104819497892611,22.399999999999977,2.3999999999999773,20.0,22.399999999999977,18.326666666666704,,,0.0,,,-1.1234662333109975
2014-01-20,545.1,563.0,537.2,555.1,7231536,HINDUNILVR,,,553.537329864704,1.722558182151368,0.9819852278868673,1.0142316699693747,0.9677535579174924,-0.29624291919374934,-0.9044150897613585,-1.1421865930062538,,,,,5137526,,4.647811205188246,25.799999999999955,17.299999999999955,8.5,25.799999999999955,19.323111111111135,,,37.862513426423206,,,0.28230618803576474
2014-01-27,555.8,584.9,548.8,575.25,10263033,HINDUNILVR,,,562.6707372276875,3.629976580796246,0.9661886136462406,1.0167753150803998,0.9540199913081269,2.144639206786077,2.254362724788169,2.2005931398586895,,,,,15400559,,6.275532377227297,36.10000000000002,29.799999999999955,6.300000000000068,36.10000000000002,21.560029629629653,,,67.91236219926509,,,2.2356347931458638
2014-02-03,581.0,581.65,554.5,569.75,8371681,HINDUNILVR,,,564.4792728717074,-0.9561060408518007,1.0197455024133393,1.0208863536638877,0.9732338745063625,0.800004333717929,1.1235336161490264,1.1517921955157022,,,6553957.6,1.2773474457631524,7028878,,4.76524791575252,27.149999999999977,6.399999999999977,20.75,27.149999999999977,22.305359012345697,,,58.93592030866543,,,0.9337326243138276
2014-02-10,568.1,589.65,561.6,564.0,8218000,HINDUNILVR,,,564.3831792630527,-1.0092145677928932,1.0072695035460992,1.0454787234042553,0.9957446808510638,-0.14089542655343967,0.0989867443782764,0.13202861071895006,,,7716604.8,1.0649761408022347,-1189122,,4.97340425531914,28.049999999999955,19.899999999999977,8.149999999999977,28.049999999999955,23.071311144032933,,,50.831187456679324,,,-0.06789345911284561
2014-02-17,565.0,572.0,553.3,560.25,4843827,HINDUNILVR,,,563.9463540429462,-0.6648936170212782,1.0084783578759482,1.0209727800089246,0.987594823739402,-0.5407883630238235,-0.488309774214049,-0.4917290642718463,,,7785615.4,0.6221508193173785,-6032949,,3.3377956269522615,18.700000000000045,8.0,10.700000000000045,18.700000000000045,22.488469658161883,,,46.06430455841928,,,-0.6554442663645036
2014-02-24,560.0,566.0,551.85,554.9,2555533,HINDUNILVR,,,563.4685772521663,-0.9549308344489083,1.0091908451973328,1.0200036042530185,0.9945035141466931,-1.0067599932529645,-1.248990373045478,-1.3388903842796416,,,6850414.8,0.37304792112734547,-8588482,,2.550009010632542,14.149999999999977,5.75,8.399999999999977,14.149999999999977,21.376673703740295,,,39.9041364268789,,,-1.5206841336125876
2014-03-03,555.5,559.5,542.0,543.2,3960883,HINDUNILVR,,,561.9349672664862,-2.1084880158587005,1.022643593519882,1.0300073637702503,0.9977908689248894,-2.1215649487678805,-2.939824465605295,-3.228162281634211,,,5589984.8,0.708567758538449,-12549365,,3.221649484536082,17.5,4.600000000000023,12.899999999999977,17.5,20.859783876574923,,,29.836007974462092,,,-3.3340098690817834
2014-03-10,544.0,559.8,544.0,557.2,5041272,HINDUNILVR,,,561.5190316015862,2.577319587628857,0.9763101220387652,1.0046661880832732,0.9763101220387652,0.2962023448543623,-0.3029114701827535,-0.5816157072895352,,,4923903.0,1.0238365784216301,-7508093,,2.8356066044508172,15.799999999999955,16.59999999999991,0.7999999999999545,16.59999999999991,20.291812693031588,,,47.96322966521185,,,-0.7691692282035868
